"If you want to deploy the Agent manually, download the installer file in this section and run it on target computer.",如果要手动部署代理程序，请下载本节中的安装程序文件，然后在目标计算机上运行它。,
Manual Installer,手动安装,
"If you want to deploy the Agent using a mass-deployment technology such as Group Policy, you can download the required files in this section. Select the polling engine you want Agents to connect to and download files.",如果要使用诸如组策略之类的大规模部署技术来部署代理程序，则可以在本节中下载所需的文件。选择您希望代理程序连接并下载文件的轮询引擎。,
Mass-Deployment Files,大规模部署文件,
Host Name,主机名,
IP Address,IP地址,
Latest Version,最新版本,
"The IP address visible to the agent may be different that the one assigned to the polling engine here. If you know that the Agent cannot use hostname or IP address provided here,"" change the option to """"Enter Connection Details Manually"""""", enter the correct values, and download the files.",代理程序可见的IP地址可能不同于此处分配给轮询引擎的IP地址。如果您知道代理程序无法使用此处提供的主机名或IP地址，则将选项更改为“手动输入连接详细信息”，“”，输入正确的值并下载文件。,
Polling Engine IP Address,轮询引擎IP地址,
Polling Engine,轮询引擎,
Specify the Polling Engine,指定轮询引擎,
Use Connection Details from Polling Engine,使用轮询引擎的连接详细信息,
Enter Connection Details Manually,手动输入连接详细信息,
Agent Initiated (Recommended),代理程序发起的（推荐）,
Server Initiated,服务器发起的,
More,更多,
More Information,更多信息,
Restore defaults,恢复默认值,
System Requirements,系统要求,
Using .MST files,使用.MST文件,
This Agent initiates communication with server. Agent connects to the server on TCP port 17778. This port must be opened on the server firewall so the Agent can connect to it. No change on the Agent firewall is required.,该代理程序启动与服务器的通信。代理程序通过TCP端口17778连接到服务器。必须在服务器防火墙上打开此端口，代理程序才能连接到它。无需对代理程序防火墙进行任何更改。,
Agent-initiated communication,代理程序发起的通信,
Server initiated communication,服务器发起的通信,
Add Agent,添加代理程序,
Agent Name,代理程序名称,
Set various Agent settings and access Agent troubleshooting options.,设置各种代理程序设置并访问代理程序故障排除选项。,
How has the agent been set up to communicate with the Orion server?,如何设置代理程序以便与Orion服务器通信? ,
Agent is not responding. Remote troubleshooting is not available.,代理程序没有回应，远程故障排除不可用。,
Deploy Agent on Network,在网络上部署代理程序,
Diagnostics,诊断信息,
Edit Agent Settings,编辑代理程序设置,
Collect new diagnostics,收集新的诊断信息,
Loading,载入中,
Log level,日志级别,
&lt;b&gt;What is an agent?&lt;/b&gt;An Agent is a piece of software that provides an additional method to poll devices that are part of a separate network or have intermittent connectivity to the network with your Orion server.,&lt;b&gt;什么是代理程序? &lt;/b&gt;代理程序是一种软件，它提供一种额外的方法来轮询属于单独网络的设备或与Orion服务器间歇性连接到网络的设备。,
Testing,测试中,
Troubleshooting,故障排除,
Connect to a previously installed agent,连接到之前安装的代理程序,
The agent software is already installed on a local or remote machine.,代理程序软件已经安装在本地或远程计算机上。,
Add to list,添加到列表,
Where do you want to install the agent software?,您要在哪里安装代理程序软件? ,
Deploy the agent on my network,在我的网络上部署代理程序,
An agent will be deployed to the selected network location.,代理程序将部署到所选的网络位置。,
Choose where to install the agent software by entering the IP address or hostname of the network location and/or choosing from existing nodes. Multiple locations and/or nodes can be selected.,通过输入网络位置的IP地址或主机名以及从现有节点中选择的供应商，选择安装代理程序软件的位置。可以选择多个位置和dor节点。,
Enter IP Address or Hostname:,输入IP地址或主机名:,
The entered Hostname or IP Address is already in list.,输入的主机名或IP地址已在列表中。,
The entered value is not a valid IP address or Hostname.,输入的值不是有效的IP地址或主机名。,
A valid IP address or Hostname is required.,必须输入有效的IP地址或主机名。,
Learn more,了解更多,
Locations/Nodes selected,位置/已选节点,
- OS: Windows Server 2003 or higher&lt;br /&gt;- Minimal hardware configuration for OS&lt;br /&gt;- Network connectivity to main server,操作系统:Windows Server 2003或更高版本&lt;br /&gt;-操作系统的最低硬件配置&lt;br /&gt;-与主服务器的网络连接,
Manually Enter the Hostname or IP Address,手动输入主机名或IP地址,
You must select at least one location for automatic Agent deployment.,您必须至少选择一个位置才能自动部署代理程序。,
How would you like to add the agent?,您想如何添加代理程序? ,
Select from Existing Nodes,从现有节点中选择,
Agents will connect to Orion Server or Orion Server will initiate connection to Agent,代理程序将连接到Orion Server或Orion Server将启动与代理程序的连接,
Make Agent initiate connection to Orion,使代理程序启动与Orion的连接,
Agents will be automatically registered as Orion nodes,代理程序将自动注册为Orion节点,
Automatically create node,自动创建节点,
".NET framework is required to poll a Windows node using an agent. If not already installed, Orion installs the applicable version of .NET to the agent machine. The applicable .NET version is determined based on the version of Windows installed on the agent machine.",使用.NET框架来轮询Windows节点是必需的。如果尚未安装，则Orion会将适用的.NET版本安装到代理程序计算机上。适用的.NET版本是根据代理程序计算机上安装的Windows版本确定的。,
--- new proxy ---,---新代理程序---,
"The specified poller is not accessible for Agent. Please, specify another poller.",代理程序无法访问指定的轮询器。请指定其他轮询器。,
"Some of target computers already contain an agent. If you continue with deployment, these agents will be replaced. Continue?",一些目标计算机已经包含一个代理程序，如果继续进行部署，则将替换这些代理程序。是否继续? ,
Some agent will be replaced,一些代理程序将被替换,
Check existing nodes polled by an agent for node changes and updates,检查由代理程序轮询的现有节点以进行节点更改和更新,
Discovery Configuration Error,发现配置有错误,
A valid discovery configuration cannot be loaded from the current session.,无法从当前会话中加载有效的发现配置。,
"By selecting the following option, you can specify which nodes currently polled by an agent will be checked for updates. This setting is helpful when using a scheduled discovery to keep all or a subset of agents updated. Nodes currently polled by an agent will be checked based on settings of this step.",通过选择以下选项，您可以指定将检查代理程序当前轮询的哪些节点的更新。使用计划好的发现来保持所有或部分代理程序更新时，此设置很有用。将根据此步骤的设置检查当前由代理程序轮询的节点。,
Check nodes polled by agents for updates,检查代理程序轮询的节点是否有更新,
"Only those Agent managed nodes matching the criteria defined above will have discovery run against them, regardless of any IP/Subnet settings defined on the Network step of this wizard.",不管在此向导的“网络”步骤中定义的任何IPPSubnet设置如何，只有符合上面定义的条件的那些代理程序管理的节点才能针对它们运行发现。,
{0} nodes currently polled by an agents,当前由代理程序轮询的{0}个节点,
{0} node currently polled by an agent,当前由代理程序轮询的{0}个节点,
Agents,代理程序,
Plug-in,插件,
Status,状态,
Plug-in Version,插件版本,
Installed Agent Plug-ins,已安装的代理程序插件,
View installed plug-ins report for all agents,查看所有代理程序的已安装插件报告,
Choose Credential,选择凭证,
Choose existing credential from the library or create new one,从库中选择现有凭证或创建新凭证,
Deploy Agents,部署代理程序,
Deploy Agent,部署代理程序,
Agent deployment failed at {0} location(s). {1},代理程序部署在{0}个位置失败。 {1},
Agent '{0}' has invalid credentials.,代理程序'{0}'的凭证是无效的。,
Settings for agent '{0}' does not contain a valid IP address and/or Hostname.,代理程序'{0}'的设置不包含有效的IP地址和供应商主机名。,
&lt;New Credential&gt;,&lt;新凭证&gt;,
Password,密码,
Agent deployment was successfuly started at {0} location(s).,已在{0}个位置成功开始代理程序部署。,
All locations must have assigned credentials.,所有位置都必须分配有凭据。,
User Name,用户名,
Unable to deploy agent '{0}' - {1},无法部署代理程序'{0}'-{1},
Agent,代理程序,
Location with relative address (localhost or 127.0.0.0/8  loopback  block) cannot be assigned to an additional poller.,不能将具有相对地址（localhost或127.0.0.0/8 loopback 块）的位置分配给其他轮询器。,
Advanced,高级,
Some Agent must be selected,必须选择某些代理程序,
Selected Agent is already added. Please select different Agent.,所选代理程序已添加。请选择其他代理程序。,
Agent GUID has incorrect format. It should be xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx.,代理程序GUID格式错误。它应该是xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx。,
Agent GUID,代理程序GUID,
IP Address/Hostname can not be empty,IP地址主机名不能为空,
IP Address or hostname must be valid. Actual address,IP地址或主机名必须有效。实际地址,
Agent with id[{0}] is not found.,找不到ID为[{0}]的代理程序。,
Location with the same IP Address/Hostname and port already exists. Please enter different IP Address/Hostname or port.,具有相同IP地址的位置主机名和端口已存在。请输入其他IP地址主机名或端口。,
Name can not be empty,名称不能为空,
Location with the same name already exists. Please enter different name.,具有相同名称的位置已存在。请输入其他名称。,
Attempt to connect to the agent at {0}:{1} was unsuccessful.,尝试在{0}:{1}上连接到代理程序失败。,
Check the Agent configuration on both the remote Agent and the Web Console and that the remote Agent service is up and running.,检查远程代理程序和Web控制台上的代理程序配置，并且远程代理程序服务已启动并正在运行。,
Port must be a number between 1 and 65535,端口必须是1到65535之间的数字,
Proxy Url can not be empty,代理程序网址不能为空,
Proxy Username can not be empty,代理程序用户名不能为空,
Assigned to Poller,已分配到轮询器,
Assign to Poller,分配给轮询器,
IP Address or hostname where the Agent is located,代理程序所在的IP地址或主机名,
No change,没有变化,
no credentials,没有凭证,
This Agent waits for requests from the server on a specified port.  This port must be opened on the Agent machine firewall so the server can connect to it.  No change on the server firewall is required.,该代理程序在指定端口上等待来自服务器的请求。必须在代理程序计算机防火墙上打开此端口，以便服务器可以连接到它。无需更改服务器防火墙。,
Agent password (optional),代理程序密码（可选）,
Unable to contact agent via original poller (id {0}). Agent needs to be redeployed in order to fix poller assignment.,无法通过原轮询器（ID {0}）与代理程序联系。需要重新部署代理程序以修正轮询程序的分配情况。,
Poller must be specified.,必须指定轮询器。,
Invalid poller selected.,选择了无效的轮询器。,
Agent port,代理程序端口,
Proxy URL,Proxy URL网址,
Username,用户名,
Testing connection to Agent,测试与代理程序的连接,
Connecting to,连接到,
Use Proxy Authentication,使用Proxy验证,
Use proxy,使用Proxy,
What is a proxy?,什么是Proxy? ,
What is this?,这是什么? ,
Agent not found. Install the Agent on the remote computer and then try again.,找不到代理程序。在远程计算机上安装代理程序，然后重试。,
Assign to an Orion Poller,分配给Orion 轮询器,
Choose Credential:,选择凭证:,
Choose existing credential from the library or create new one:,从库中选择现有凭证或创建新凭证:,
Generate new diagnostics,生成新的诊断,
IP Address or Hostname where the Agent is installed,安装代理程序的IP地址或主机名,
Name for Agent at this location,此位置的代理程序名称,
Agent password,代理程序密码,
Password:,密码:,
Update Agent port and password directly on Agent location,直接在代理程序位置上更新代理程序端口和密码,
Active,活性,
Passive,被动,
Group by,通过xx分组,
Installing agent failed -,安装代理程序失败-,
Go to Manage Agents while install continues,继续安装时转到“管理代理程序”,
status not found,找不到状态,
Close,关闭,
All agent software will be uninstalled from this node.,所有代理程序软件都将从该节点上卸载。,
Are you sure you want to delete this agent and node?,您确定要删除此代理程序和节点吗? ,
Are you sure you want to delete this agent?,您确定要删除此代理程序吗? ,
Are you sure you want to delete these agents and nodes?,您确定要删除这些代理程序和节点吗? ,
Are you sure you want to *##delete these {0} agents##*?,您确定要 *##删除这些{0}代理程序##*吗? ,
Edit Node Properties,编辑节点属性,
"Deleting these agents will also uninstall the agent software and delete the corresponding nodes.  ,,,,,,","删除这些代理程序还将卸载代理程序软件并删除相应的节点。,,,,,",
Deleting these agents will also uninstall the agent software from the corresponding hosts.,删除这些代理程序还将从相应的主机上卸载代理程序软件。,
Node,节点,
"Deleting this agent will also uninstall the agent software and delete the corresponding node.  If you want to remove this agent but not the node, you can change the node polling method by editing the node.",删除该代理程序还将卸载代理程序软件并删除相应的节点。如果要删除此代理程序而不是节点，则可以通过编辑节点来更改节点轮询方法。,
What *##plug-ins are currently installed##* on this agent?,此代理程序上当前安装了什么*##plug-ins##*? ,
"Promoting this agent installs additional Orion Agent plug-ins on the target node, allowing you to agentlessly poll other nodes through the Remote Collector via WMI, SNMP, etc.",升级此代理程序会在目标节点上安装其他Orion 代理程序插件，从而使您可以通过WMI，SNMP等通过Remote Collector对其他节点进行无代理程序轮询。,
Are you sure you want to promote this agent to a Remote collector?,您确定要将此代理程序提升为远程收集器吗? ,
How long should newly registered agents be displayed as new in the Manage Agents table?,新注册的代理程序应在多久后显示为“管理代理程序”表? ,
Hours,小时,
The value must be from {0} to {1}!,该值必须介于{0}到{1}之间！,
Required Field!,必填项！,
Deploy agent on my network,在我的网络上部署代理程序,
Add an agent to a monitored device within your network. Agents provide an additional polling method for your devices.,将代理程序添加到网络中受监视的设备。代理程序为您的设备提供了另一种轮询方法。,
Download agent installation files,下载代理程序安装文件,
Learn more about using agents,了解有关使用代理程序的更多信息,
{0} agents have registered,{0}个代理程序已注册,
Agent Deployment,代理程序部署,
Username:,用户名:,
Proxy Settings,Proxy设置,
Autodetect,自动侦测,
Download .zip,下载 .zip,
Offline Installer,离线安装程序,
Agent Shared Secret (optional),代理程序共享机密（可选）,
"Server initiated communication allows for an optional password. If the agent is currently installed and a &lt;b&gt;shared secret&lt;/b&gt;has been set, enter the &lt;b&gt;shared secret&lt;/b&gt;here;&lt;br/&gt;otherwise, leave this field empty.",服务器启动的通信允许使用可选密码。如果当前已安装代理程序，并且已设置&lt;b&gt;共享密钥&lt;/b&gt;，请在此处输入&lt;b&gt;共享密钥&lt;/b&gt;；否则，请输入&lt;b&gt;共享密钥。 &lt;br/&gt;否则，将此字段留空。,
Gold  Master Image,金牌大师形象,
Mass-Deployment (e.g. Group Policy),大规模部署（例如：组策略）,
Both files are needed for mass deploy agents,这两个文件对于大规模部署代理程序都是必需的,
How would you like to deploy the agent ?,您想如何部署代理程序? ,
"Once the agent software is installed, you must connect to the agent from the Orion web console. Navigate to {0}. From the &lt;b&gt;Manage Agents&lt;/b&gt;table, use the &lt;b&gt;Add Agent&lt;/b&gt;action to connect to the agent.",安装代理程序软件后，您必须从Orion Web控制台连接到代理程序。导航至{0}。在&lt;b&gt;管理代理程序&lt;/b&gt;表中，使用&lt;b&gt;添加代理程序&lt;/b&gt;操作连接到代理程序。,
This port must be opened on the agent computer's firewall so the Orion Server can connect. No change to the Orion Server firewall is required.,必须在代理程序计算机的防火墙上打开此端口，以便Orion Server可以连接。无需更改Orion Server防火墙。,
Agent Communication Port:,代理程序通讯端口:,
Specify the Port,指定端口,
Using the gold master image installer files,使用黄金主映像安装程序文件,
Port must be a number between 1 and 65535.,端口必须是1到65535之间的数字。,
Port must be in the numeric format.,端口必须为数字格式。,
Invalid Port Value,无效的端口值,
&lt;br /&gt;&lt;b&gt;Additional details&lt;/b&gt;: {0}.,&lt;br&gt;&lt;b&gt;其他详细信息&lt;/b&gt;:{0}。,
Help me troubleshoot this,帮我解决这个问题,
Auto-detect proxy settings,自动检测代理程序设置,
Proxy Settings:,Proxy设置:,
Do not use a proxy,不要使用proxy,
Use system proxy settings,使用系统代理程序设置,
Manually configure proxy,手动配置proxy,
Hostname or IP Address:,主机名或IP地址:,
Port:,端口:,
Missing Hostname or Port for Manual Proxy Configuration.,缺少用于手动Proxy配置的主机名或端口。,
Proxy Settings Error,Proxy设置错误,
Deployment method,部署方式,
Choose this option if you want to deploy the agent via a Gold Master Image. You will be asked to specify communication type (agent-initiated or server-initiated) along with some other additional settings.,如果要通过Gold Master Image部署代理程序，请选择此选项。系统将要求您指定通信类型（代理程序启动或服务器启动）以及一些其他附加设置。,
Distribute via a Golden Master Image,通过黄金主映像分发,
Choose this option if you want to deploy the agent manually. You will be given a file to download and run on target machine.,如果要手动部署代理程序，请选择此选项。您将获得一个文件，以下载并在目标计算机上运行。,
Install Manually,手动安装,
Choose this option if you want to deploy the agent using a mass-deployment technology such as Group Policy. You will be asked to specify communication type (agent-initiated or server-initiated) along with some other additional settings.,如果要使用诸如组策略之类的大规模部署技术来部署代理程序，请选择此选项。系统将要求您指定通信类型（代理程序启动或服务器启动）以及一些其他附加设置。,
Mass Deploy to Multiple Machines (e.g. Group Policy),批量部署到多台计算机（例如：组策略）,
How do you want to deploy the Unix/Linux agent?,您想如何部署Unix/Linux代理程序? ,
How do you want to deploy the Windows agent?,您想如何部署Windows代理程序? ,
Unix/Linux,Unix/Linux,
Machine type,机型,
What type of machine will the agent be installed on?,代理程序将安装在哪种机器上? ,
Windows,视窗,
Settings &amp;files/URLs,设置&amp;文件/URLs,
Communication Mode,通讯模式,
Connection Settings,连接设定,
File Downloads,文件下载,
Learn about manually installing a Windows agent,了解有关手动安装Windows代理程序的信息,
Learn about mass-deploying Windows agents,了解有关大规模部署Windows代理程序的信息,
"Before installing the agent software, you need to add the Orion repository. Open a shell prompt on the Unix/Linux machine and enter the following command:",在安装代理程序软件之前，您需要添加Orion存储库。在Unix/Linux计算机上打开一个shell提示符，然后输入以下命令:,
Adding the repository,添加存储库,
Command,命令,
Choose this option if you want to download the installation files using wget or another similar file-retrieving utility. You can also directly download the installation file from the browser as well.,如果要使用wget或其他类似的文件检索实用程序下载安装文件，请选择此选项。您也可以直接从浏览器下载安装文件。,
Manually Install by Downloading Files via URL (e.g. wget),通过URL（例如：wget）下载文件来手动安装,
Choose this option is you want to use a tool such as Chef or Puppet to automate the deployment of agents to multiple machines.,如果您要使用Chef或Puppet之类的工具来自动将代理程序部署到多台计算机，请选择此选项。,
"Mass Deploy to Multiple Machines (e.g. Chef, Puppet)",大规模部署到多台机器（例如：Chef，Puppet）,
Choose this option if you want to use a package management tool such as yum or apt to download and install the agent software.,如果要使用软件包管理工具（例如：yum或易于下载和安装代理程序软件），请选择此选项。,
"Install via Package Management Tool (e.g. yum, apt)",通过软件包管理工具进行安装（例如：yum，apt）,
Specify your Unix/Linux distribution and desired agent settings then run the resulting command to install the agent software.,指定您的Unix/Linux发行版和所需的代理程序设置，然后运行生成的命令来安装代理程序软件。,
Choose your agent settings and download the resulting file,选择您的代理程序设置并下载生成的文件,
Choose your agent settings and download the resulting MSI and MST files,选择代理程序设置并下载生成的MSI和MST文件,
"To install the agent software, open a shell prompt on the Unix/Linux machine and enter the following command. This script will use wget or curl to download the agent file and install the agent based on your chosen  settings. Alternatively, you can download the installation files for manual installation.",要安装代理程序软件，请在Unix/Linux计算机上打开外壳程序提示符，然后输入以下命令。该脚本将使用wget或curl来下载代理程序文件并根据您选择的设置安装代理程序。或者，您可以下载安装文件以进行手动安装。,
Install Command,安装命令,
"To install the agent software, open a shell prompt on the Unix/Linux machine and enter the following command:",要安装代理程序软件，请在Unix/Linux计算机上打开外壳程序提示符，然后输入以下命令:,
Installing the Agent Software,安装代理程序软件,
Learn about creating a Gold Master Image for Windows agents,了解有关为Windows代理程序创建Gold Master映像的信息,
Learn about manually installing a Unix/Linux agent,了解有关手动安装Unix/Linux代理程序的信息,
TODO: Learn more link,待办事项:了解更多链接,
Learn about deploying a Unix/Linux agent using yum or apt-get,了解有关使用yum或apt-get部署Unix/Linux代理程序的信息,
Architecture,架构,
Distribution,发行版,
Unix/Linux distribution,Unix/Linux发行版,
Package Management Tool,程序包管理工具,
Choose the package management tool you are using,选择您正在使用的程序包管理工具,
Generate command,生成指令,
Agent Software Version,代理程序软件版本,
Copy,拷贝,
View Script,查看脚本,
Certificate,证书,
Credential Type,凭证类型,
Do I need to provide SUDO credentials?,我是否需要提供SUDO凭证? ,
Paste Key Manually (PEM Format) ...,手动粘贴密钥（PEM格式）...,
"Include Credentials with Elevated Privileges (i.e. SUDO, su)",包括具有特权特权的凭证（即：SUDO，su）,
Private Key,私钥,
Private Key Password&lt;br /&gt;(Optional),私钥密码&lt;br /&gt;（可选）,
Username and password,用户名和密码,
Key was pasted manually,密钥已手动粘贴,
Use key in file,使用文件中的密钥,
Operating System,操作系统,
Credential with Elevated Privileges,具有特权特权的凭证,
Deploy an Agent from Orion,从Orion部署代理程序,
Download Agent Software File for Manual Installation,下载代理程序软件文件以进行手动安装,
"If you do not wish to manually install an agent, Orion can install the agent for you. Orion will download and install the agent software onto specified hosts. This is helpful when you have multiple hosts and manual installation would be too time consuming.",如果您不想手动安装代理程序，Orion可以为您安装代理程序。 Orion将下载代理程序软件并将其安装到指定主机上。当您有多个主机并且手动安装将非常耗时时，这将很有帮助。,
Looking to Push an Agent from Orion?,想要从Orion推送代理程序? ,
Agent '{0}' needs manual installation package selection.,代理程序'{0}'需要手动选择安装软件包。,
Some agent needs manual installation package selection.,一些代理程序需要手动选择安装软件包。,
Install Package,安装程序包,
Adding the Orion repository,添加Orion存储库,
"You must have superuser access to install the agent software on a Unix/Linux computer. If your system administrator provided you SUDO credentials to run commands as the superuser, include them here.",您必须具有超级用户访问权限才能在Unix/Linux计算机上安装代理程序软件。如果系统管理员为您提供SUDO凭据以超级用户身份运行命令，请在此处包括它们。,
What credentials do I need with a Unix/Linux agent?,Unix/Linux代理程序需要什么凭证? ,
Remote Collectors,远程收集器,
Manage Remote Collectors,管理远程收集器,
"&lt;b&gt;What is an Orion Remote Collector?&lt;/b&gt;A Remote Collector functions as a lightweight distributed polling engine, providing the ability to monitor endpoints agentlessly via protocols such as SNMP and WMI.",&lt;b&gt;什么是Orion远程收集器? &lt;/b&gt;远程收集器充当轻型分布式轮询引擎，提供了通过SNMP和WMI等协议对代理程序进行无代理程序监视的功能。,
Add condition,添加条件,
And more ...,更多 ...,
You must specify at least one condition,您必须至少指定一个条件,
Preview of Orion Nodes in dynamic query for current polling engine:,在当前查询引擎的动态查询中预览Orion节点:,
This query doesn't result in any objects...,此查询不会导致任何对象...,
Preview,预览,
Showing only first {0} objects.,仅显示前{0}个对象。,
Unable to display dynamic query preview. Error message is: {0},无法显示动态查询预览。错误消息是:{0},
Check all existing nodes polled by agent,检查代理程序轮询的所有现有节点,
Check only specific set of nodes polled by agent,仅检查由代理程序轮询的特定节点集,
Application Name,应用名称,
Domain Name,域名,
Last Successful Poll,上次成功的轮询,
Root Domain Name,根域名,
Application Details,应用详情,
Domain Last Modified,域上次修改时间,
Domain Created,域已创建,
ASSIGN APPLICATION MONITOR,分配应用程序监视器,
Set Authentication Method used to connecto to the Domain Controller.,设置用于连接到域控制器的身份验证方法。,
Error checking duplicates.,检查重复项时出错。,
The Active Directory Domain Controler instance on this node is currently being monitored by Active Directory Domain Controler Application.,Active Directory域控制应用程序当前正在监视此节点上的Active Directory域控制器实例。,
Set Encryption Method used to connect to the Domain Controller.,设置用于连接到域控制器的加密方法。,
Set whether a server certificate should be validated.,设置是否应验证服务器证书。,
Invalid WMI credentials.,无效的WMI凭据。,
Which server instance should be monitored with {0}?,应该使用{0}监视哪个服务器实例? ,
Set up {0},设置{0},
Set port number used to connect to the Domain Controller.,设置用于连接到域控制器的端口号。,
Set port number used to connect to the Global Catalog.,设置用于连接到全局目录的端口号。,
Invalid application credentials.,无效的应用程序凭证。,
Active Directory Credentials:,Active Directory凭据:,
Credentials:,凭据:,
Authentication method:,身份验证方法:,
Detailed error information: Cannot connect to Domain Controller,详细的错误信息:无法连接到域控制器,
Credentials test failed.,凭据测试失败。,
Enable total counters:,启用总计数器:,
Click here to learn more.,点击这里了解更多。,
"Enabling this feature can impact domain controller performance. If you opt to enable it and then decide to disable it, use the Orion Service Manager to restart the SolarWinds Collector Service. Otherwise, the AppInsight application will display as Down and warnings will appear in logs.",启用此功能可能会影响域控制器的性能。如果您选择启用它，然后决定禁用它，请使用Orion Service Manager重新启动SolarWinds Collector Service。否则，AppInsight应用程序将显示为“关闭”，并且警告将出现在日志中。,
Encryption method:,加密方式:,
Ignore certificate errors,忽略证书错误,
LDAP Port Number,LDAP端口号,
Global Catalog Port Number,全局目录端口号,
Could not connect to the Domain Controller with provided credentials. Do you want to continue saving these changes anyway?,无法使用提供的凭据连接到域控制器。您是否仍要继续保存这些更改? ,
Detailed error information: The user name or password is incorrect,详细的错误信息:用户名或密码不正确,
Please enter a valid Port Number in the 'Global Catalog Port Number' field,请在“全局目录端口号”字段中输入有效的端口号,
Please enter a valid Port Number in the 'LDAP Port Number' field,请在“ LDAP端口号”字段中输入有效的端口号,
Invalid port number,无效的端口号,
Detailed error information,详细的错误信息,
Active Directory BlackBox Application Details,Active Directory BlackBox应用程序详细信息,
Node Id is required.,必须提供节点ID。,
Credential is required.,必须提供凭据。,
Set up AppInsight for Exchange,设置AppInsight for Exchange,
Which server instance should be monitored with AppInsight for Exchange,应该使用AppInsight for Exchange监视哪个服务器实例,
Exchange Administrator Credentials:,Exchange管理员凭据:,
The Exchange server on this node is currently being monitored by AppInsight for Exchange.,AppInsight for Exchange当前正在监视此节点上的Exchange服务器。,
Invalid Exchange Server credentials.,无效的Exchange Server凭据。,
Error while testing Exchange BB connection.,测试Exchange BB连接时出错。,
"Before you can assign this template to an Exchange server, you need to configure the Exchange server (configure WinRM and enable Windows Authentication for PowerShell site).",必须先配置Exchange服务器（配置WinRM并为PowerShell站点启用Windows身份验证），然后才能将此模板分配给Exchange服务器。,
Steps for manually configuring an Exchange server for monitoring,手动配置Exchange服务器进行监视的步骤,
Configuring the Exchange Server,配置Exchange服务器,
Help me find these URL settings,帮我找到这些网址设置,
Invalid PowerShell Exchange URL.,无效的PowerShell Exchange URL。,
Invalid PowerShell Windows URL.,无效的PowerShell Windows URL。,
Please enter an PowerShell Exchange URL,请输入PowerShell Exchange URL,
Please enter an PowerShell Windows URL,请输入PowerShell Windows URL,
