It is possible for accounts to be locked out because credentials may be tried several times. ,由于可能会尝试多次凭据，因此帐户可能被锁定。
&amp;#0187; Application Summary,&amp;＃0187;申请摘要
N/A,N/A
"Where do you want to apply &lt;b&gt;""{0}""&lt;/b&gt;?","您想在哪里应用&lt;b&gt;""{0}"" &lt;/b&gt;？"
"Select nodes to apply the ""{0}"" application monitor template.","选择要应用""{0}""应用程序监视模板的节点。"
{0} polling via &lt;b&gt;{2}&lt;/b&gt; ({1} {0}),{0}通过&lt;b&gt; {2} &lt;/b&gt;进行轮询（{1} {0}）
Which credentials should be used to access to &lt;i&gt;{0}&lt;/i&gt; on these node(s)?,应使用哪些凭据访问这些节点上的&lt;i&gt; {0} &lt;i&gt;？
"For Windows domain accounts, specify the username in the &lt;b&gt;DOMAIN\userName&lt;/b&gt; format.",对于Windows域帐户，以&lt;b&gt; DOMAIN \ userName &lt;/b&gt;格式指定用户名。
"If you continue, the password will be sent in clear text! ",如果继续，密码将以明文形式发送！
[Unknown],[未知]
&lt;b&gt;Automatically with Application Discovery.&lt;/b&gt; I would like to scan selected nodes and choose which applications to monitor.,&lt;b&gt;利用Application Discovery自动实现。&lt;/b&gt;我想扫描选定的节点并选择要监视的应用程序。
{0} uses application monitors ({1}) ,{0}使用应用程序监视器（{1}）
ASSIGN MORE APPLICATION MONITORS,分配更多的应用程序监视器
TRUE,真正
FALSE,假
Assign application monitors,分配应用程序监视器
Monitor &lt;b&gt;{0}&lt;/b&gt; on which node(s),监视&lt;b&gt; {0} &lt;/b&gt;哪个节点
"{0} will list processes, services, or performance counters on a server.  These items ",{0}将列出服务器上的进程，服务或性能计数器。这些项目
&amp;nbsp;&amp;nbsp;&amp;raquo; Browse for more components,&amp;nbsp;&amp;nbsp;&amp;raquo;浏览更多组件
&amp;nbsp;&amp;nbsp;&amp;raquo; Manage Assigned Application Monitors,&amp;nbsp;&amp;nbsp;&amp;raquo;管理分配的应用程序监视器
&amp;nbsp;&amp;nbsp;&amp;raquo; Manage Application Monitor Templates,&amp;nbsp;&amp;nbsp;&amp;raquo;管理应用程序监控器模板
Choosing the 'Multiple systems' will give you more generic counters that can be applied to multiple machines. ,选择“多个系统”将为您提供更多可应用于多台计算机的通用计数器。
This counters can be added to a new or existing application monitor template. ,可以将此计数器添加到新的或现有的应用程序监视器模板中。
"Available macros: ${IP}, ${PORT}, ${PROTOCOL}, ${PATH}. Default works best for most servers.",可用的宏：$ {IP}，$ {PORT}，$ {PROTOCOL}，$ {PATH}。默认对于大多数服务器来说效果最好。
^My [\\d]+ VM Components$,^My [\\d]+VM组件$
"Edit Resource: ""{0}""","编辑资源：""{0}"""
NAME,名称
Date,日期
Downloads,资料下载
"Sample Interval should be less than ""Time Period""",采样间隔应小于“时间段”
MESSAGE,信息
Export to excel,导出到Excel
on,上
Application.Name = 'Exchange',Application.Name = 'Exchange'
Status.LastTimeUp&gt;='0110112010',Status.LastTimeUp&gt; ='0110112010'
Getting Started with Server &amp; Application Monitor,Server&amp;入门应用监控
OrionNPM V6,OrionNPM V6
Posey Watch,波西手表
Solarwinds,太阳风
{0} % up,提升{0}％
IOPS,IOPS
"Select the AppInsight Applications you want to use with your environment.&lt;br/&gt;&lt;b&gt;Note:&lt;/b&gt; You will be able to review, change and add applications that may not be listed here at a later step.",选择要与您的环境一起使用的AppInsight应用程序。&lt;br/&gt; &lt;b&gt;注意：&lt;/b&gt;您将可以在以后的步骤中查看，更改和添加未在此处列出的应用程序。
The converted value will be used by thresholds &amp; displayed.,转换后的值将由阈值&amp;显示。
Use ${Statistic} to represent the input value. For example: ${Statistic}*1000,使用$ {Statistic}表示输入值。例如：$ {Statistic} * 1000
CLOSE,关
"Thresholds are &lt;span class=""bold""&gt;initially calculated&lt;/span&gt; as soon as enough baseline data has been gathered.","一旦收集了足够的基线数据，便会&lt;span class=""bold""&gt;阈值进行初始计算&lt;span&gt;。"
"Once complete, thresholds are calculated &lt;span class=""bold""&gt;on demand&lt;/span&gt; - they are not re-calculated automatically.","完成后，阈值将按需&lt;span class=""bold""&gt; &lt;/span&gt; 进行计算-不会自动重新计算。"
"Navigate to the &lt;span class=""bold""&gt;Edit Application&lt;/span&gt; page of the desired Application Monitor.","导航到所需应用程序监视器的&lt;span class=""bold""&gt;编辑应用程序&lt;span&gt;页面。"
"Find and expand the &lt;span class=""bold""&gt;Component Monitor&lt;/span&gt; that have the threshold(s) you want to re-calculate.","查找并展开具有您要重新计算的阈值的&lt;span class=""bold""&gt; Component Monitor &lt;span&gt;。"
"Click &lt;span class=""bold""&gt;Use Latest Baseline Thresholds&lt;/span&gt;.","单击&lt;span class=""bold""&gt;使用最新基准阈值&lt;span&gt;。"
"Recommended &lt;span class=""warning""&gt;Warning&lt;/span&gt; Threshold","推荐的&lt;span class=""warning""&gt;警告&lt;span&gt;阈值"
"Recommended &lt;span class=""critical""&gt;Critical&lt;/span&gt; Threshold","推荐的&lt;span class=""critical""&gt;临界&lt;span&gt;阈值"
"Set as &lt;span class=""warning""&gt;Warning&lt;/span&gt; Threshold","设置为&lt;span class=""warning""&gt;警告&lt;span&gt;阈值"
"Set as &lt;span class=""critical""&gt;Critical&lt;/span&gt; Threshold","设置为&lt;span class=""critical""&gt;临界&lt;span&gt;阈值"
MIN,分
MAX,最高
STD DEV,标准开发
MEAN,意思
A single poll,一次民意调查
"For nodes polling via an &lt;b&gt;agent&lt;/b&gt;, choose &lt;i&gt;{0}&lt;/i&gt; to use the &lt;b&gt;Local System&lt;/b&gt; account",对于通过&lt;b&gt; agent &lt;/b&gt;进行轮询的节点，请选择&lt;i&gt; {0} &lt;i&gt;以使用&lt;b&gt; Local System &lt;/b&gt;帐户
Agent &amp; WMI,代理人WMI
SNMP &amp; ICMP,SNMP &amp; ICMP
GROUPS,团体
Assign this template only to the &lt;b&gt;servers&lt;/b&gt; in this group,将此模板仅分配给该组中的&lt;b&gt;服务器&lt;/b&gt;
&amp;#187; Learn More,&amp;＃187;学到更多
Do you want the application monitor resulting from this assignment to be &lt;b&gt;automatically deleted&lt;/b&gt; from any nodes that are removed from the group?,您是否希望从该组中删除的所有节点上自动&lt;b&gt;自动删除&lt;b&gt;由该任务分配的应用程序监视器？
"&lt;div class=""section"" title=""Filename patterns using wildcards""&gt;","&lt;div class =“ section” title =“使用通配符的文件名模式""&gt;"
Learn more about new features in 2020.2,在2020.2中了解有关新功能的更多信息
ExecutorAssemblyName,ExecutorAssemblyName
Url,网址
Use Proxy,使用代理服务器
Status Roll-Up,状态汇总
IO Total Operations/Sec,IO Total Operations/Sec
For example: ${Statistic}*1000,例如：$ {Statistic} * 1000
Use ${Statistic} to represent the input value.,使用$ {Statistic}表示输入值。
Statistic name,统计名称
Value,值
ApplicationTemplate.Name = 'Exchange',ApplicationTemplate.Name = 'Exchange'
Nodes.Caption like 'Exchange%',像“ Exchange％”这样的Nodes.Caption
Nodes.CustomProperties.City = 'New York',Nodes.CustomProperties.City ='纽约'
Select Components,选择组件
Time Period,时间段
WinRM Authentication Mechanism,WinRM身份验证机制
Enable WinRM:,启用WinRM：
WinRM Settings,WinRM设定
This component is not FIPS-compliant so it will not be polled.,该组件不符合FIPS，因此不会被轮询。
Enable application template polling via WinRM with fallback to WMI for this node,通过WinRM启用应用模板轮询，并为此节点回退到WMI
Specifies the TCP port for which this listener is created.&lt;br/&gt;,指定为其创建此侦听器的TCP端口。&lt;br/&gt;
Specifies a URL prefix on which to accept HTTP or HTTPS requests.&lt;br/&gt;,指定要接受HTTP或HTTPS请求的URL前缀。&lt;br/&gt;
UrlPrefix:,网址前缀：
Use HTTPS Protocol:,使用HTTPS协议：
Specifies the transport to use to send and receive WS-Management protocol requests and responses.&lt;br/&gt;,指定用于发送和接收WS-Management协议请求和响应的传输。&lt;br/&gt;
{0}Orion Platform 2020.2 updates -{1},{0} Orion Platform 2020.2更新-{1}
"Customize Orion Maps with text boxes, labels, icons, styles, layouts, and more.",使用文本框，标签，图标，样式，布局等自定义Orion地图。
Enhanced volume status shows warning and critical statuses based on volume usage thresholds.,增强的卷状态根据卷使用量阈值显示警告和严重状态。
Innovative new widgets for your custom summary dashboards.,用于自定义摘要仪表板的创新性新窗口小部件。
Performance enhancements for the Orion Web Console and Configuration Wizard.,Orion Web控制台和配置向导的性能增强。
Scripts to extract UI text from the Orion Web Console that you can translate and then deploy back to the Orion Web Console.,从Orion Web控制台提取UI文本的脚本，您可以对其进行翻译，然后再部署回Orion Web Console。
Application Template was successfully imported.,应用模板已成功导入。
text/microsoft-resx,text/microsoft-resx
PowerShell - Exchange URL:,PowerShell - Exchange URL:
PowerShell - Windows URL:,PowerShell - Windows URL:
All copies of {0},{0}的所有副本
PowerShell URL - Exchange,PowerShell URL - Exchange
PowerShell URL - Windows,PowerShell URL - Windows
DAG:,天哪：
Exchange Server,交换服务器
Disk Queue Length,磁盘队列长度
Total File Size,文件总大小
Content index,内容索引
Copy queue,复制队列
Copy status,复制状态
Database name,数据库名称
Inspected log time,检查日志时间
Replay queue,重播队列
{0} on{1} {2} on{3} {4},{0} on{1} {2} on{3} {4}
&lt;b&gt;Advanced Configuration&lt;/b&gt; (Not Recommended),&lt;b&gt;高级配置&lt;/b&gt;（不推荐）
Credentials with &lt;b&gt;administrative rights to Microsoft Exchange&lt;/b&gt; are required to configure and monitor this Exchange Server.,必须具有具有Microsoft Exchange &lt;/b&gt;的管理权限的凭据，才能配置和监视此Exchange Server。
&lt;br/&gt;OR &lt;br/&gt;,&lt;br/&gt;或&lt;br/&gt;
"PowerShell connection to target node not working properly, do you want to assign application anyway? You can fix configuration later by clicking &lt;strong&gt;Configure&lt;/strong&gt; on application edit page.",与目标节点的PowerShell连接无法正常工作，您是否仍要分配应用程序？您可以稍后在应用程序编辑页面上单击&lt;strong&gt; Configure &lt;strong&gt;来修复配置。
{0} by {1},{0} by {1}
"Click the ""Configure Server"" button below to actually configure the server for AppInsight for Learn More",单击下面的“配置服务器”按钮，为AppInsight实际配置服务器以了解更多信息。
NA,呐
"Server &amp; Application Monitor includes AppInsight for IIS which provides greater depth and visibility into the health and performance of your IIS application servers. To&amp;nbsp;enable AppInsight for IIS, click the button below. AppInsight for IIS is supported on&amp;nbsp;Windows 2008&amp;nbsp;-&amp;nbsp;Windows 2012 R2.",服务器和Application Monitor包含用于IIS的AppInsight，可为您的IIS应用程序服务器的运行状况和性能提供更深入的了解。要启用IIS的AppInsight，请单击下面的按钮。在Windows 2008和Windows 2012 R2上支持IIS的AppInsight。
&lt; 1 min,&lt;1分钟
{None},{没有}
not available,无法使用
Min/Max {0},Min/Max {0}
&gt;&gt; Edit Settings,&gt;&gt;编辑设置
STATUS,状态
Corruption was detected in the Task Scheduler security database; the database has been reset.,在Task Scheduler安全数据库中检测到损坏；数据库已重置。
Cancel,取消
"By choosing New version of report to be preserved,&lt;b&gt; Original version would be overwritten.&lt;/b&gt;",通过选择要保留的报告的新版本，&lt;b&gt;原始版本将被覆盖。&lt;/b&gt;
App Builder,App Builder
Manage Applications,管理应用程式
"Value must be True, False, 0, or 1",值必须为True，False，0或1
TIME OF ALERT,警报时间
CURRENT VALUE,当前值
MP,MP
LOGOUT,登出
Thresholds &amp; Polling,阈值和轮询
Network discovery,网络发现
SolarWinds Product Training &amp; Education,SolarWinds产品培训与培训教育
Subnets &amp; IPs,子网和知识产权
Server &amp; Application Monitoring Credentials,服务器和应用程序监视凭证
Server &amp; Application Performance,服务器和应用性能
VMware Settings,VMware设置
Objects &amp; Gear Management,对象与对象齿轮管理
Error during import. Check running services and try import again. ,导入期间出错。检查正在运行的服务，然后再次尝试导入。
Device Type,设备类型
"Discover VMWare infrastructure on your network including vCenters, Datacenters, Clusters, ESX Hosts and Virtual Machines.",发现网络上的VMWare基础架构，包括vCenter，数据中心，群集，ESX主机和虚拟机。
Monitor IP SLA operations,监控IP SLA操作
You can get back to this setup wizard anytime by selecting &lt;b&gt;Settings &amp;gt; Network Discovery&lt;/b&gt; on the main navigation bar.,您可以随时通过选择&lt;b&gt;设置&amp; gt;回到此设置向导。主导航栏上的Network Discovery &lt;/b&gt;。
Unable to start discovery.,无法开始发现。
An error has occurred.,发生了错误。
An error while processing results has occurred.,处理结果时发生错误。
An error while cancelling discovery has occurred.,取消发现时发生错误。
Network Sonar Discovery,网络声纳发现
Enter the SNMP credentials used on your network. The Discovery Engine automatically determines ,输入网络上使用的SNMP凭据。发现引擎会自动确定
Authentication Method:,身份验证方法：
SNMP v3,SNMP v3
Discover now,立即发现
Edited profile is running. Storing results will stop current discovery.,编辑的配置文件正在运行。存储结果将停止当前发现。
"Scan your network for devices like routers, switches and servers. Volumes on these",扫描网络中的路由器，交换机和服务器等设备。这些上的卷
NODE,节点
"&lt;font color=""red""&gt;Cannot display content because the filter '{0}' has an error.","&lt;font color=""red""&gt;由于过滤器""{0}""有错误，因此无法显示内容。"
IF-MIB:ifTable,IF-MIB:ifTable
Cisco SMI:Cisco,思科SMI：思科
MSFT-MIB:microsoft,MSFT-MIB:microsoft
DOCS-IF-MIB:docsIfMib,DOCS-IF-MIB:docsIfMib
Average CPU Load &amp; Memory Statistics,平均CPU负载和内存统计
A Network Node was not Selected,未选择网络节点
VOLUME,卷
SIZE,尺寸
SPACE USED,使用空间
Current Response Time &amp; Packet Loss,电流响应时间数据包丢失
IP,IP
LowerLayerDown,LowerLayerDown
"Widget is hidden on dashboard, &lt;br&gt; there is no data to show now.",窗口小部件隐藏在仪表板上，&lt;br&gt;现在没有数据可显示。
Availability,可用性
Average CPU Load &amp; Memory Utilization - Pie Gauges,平均CPU负载和内存利用率-饼图
Average CPU Load &amp; Memory Utilization - Radial Gauges,平均CPU负载和内存利用率-径向规
Current &amp; Average Response Time - Linear Gauges,电流和平均响应时间-线性量规
Current &amp; Average Response Time - Radial Gauges,电流和平均响应时间-径向规
Average Response Time &amp; Packet Loss - Linear Gauges,平均响应时间封包丢失-线规
Average Response Time &amp; Packet Loss - Radial Gauges,平均响应时间封包丢失-径向规
Minimum &amp; Maximum Response Time - Linear Gauges,最低和最大响应时间-线性量规
Average CPU Load &amp; Memory Utilization - Linear Gauges,平均CPU负载和内存利用率-线性量规
Minimum &amp; Maximum Response Time - Radial Gauges,最低和最大响应时间-径向规
"Edit &lt;span style=\""color:blue;\""&gt;""{0}""&lt;/span&gt;","编辑&lt;span style=\""color:blue;\""&gt;""{0}""&lt;/span&gt;"
Parent,父母
"Value of ""{0}"": ",{0}的值：
Child,儿童
{0} group status is {1}. &lt;b&gt;#&lt;/b&gt; member objects report a substandard condition.,{0}组的状态为{1}。 &lt;b&gt;＃&lt;/b&gt;成员对象报告不合格条件。
"You can also click on the {0}""&lt;b&gt;Edit Resource&lt;/b&gt;""{1} button on the Resource Header at any time to edit this resource.",您也可以随时单击资源标题上的{0}“ &lt;b&gt;编辑资源&lt;/b&gt;” {1}按钮来编辑此资源。
Hostname,主机名
Who,Who
Network Latency &amp; Percent Loss,网络延迟和损失百分比
Minute,分钟
Hour,小时
Day,天
Week,周
Month,月
You can &lt;b&gt;filter&lt;/b&gt; the list of nodes displayed on the &lt;b&gt;{0}&lt;/b&gt; resource.,您可以&lt;b&gt;过滤&lt;/b&gt;在&lt;b&gt; {0} &lt;/b&gt;资源上显示的节点列表。
Filters are optional and can be used to limit the list of groups displayed.&lt;br/&gt;,过滤器是可选的，可用于限制显示的组列表。&lt;br/&gt;
Filter Examples:,过滤器示例：
Filters are optional and can be used to limit the list of Dependencies displayed.&lt;br/&gt;,筛选器是可选的，可用于限制显示的依赖项列表。&lt;br/&gt;
Automatically hides this resource if the currently selected Net Object does not,如果当前选择的网络对象没有自动隐藏此资源
Filters are optional and can be used to limit the list of Syslog Messages displayed.&lt;br /&gt;,筛选器是可选的，可用于限制显示的Syslog消息的列表。&lt;br&gt;
&lt;b&gt;Grouping Nodes&lt;/b&gt;&lt;br /&gt;,&lt;b&gt;分组节点&lt;/b&gt; &lt;br&gt;
"Leave the subtitle field blank to have ""Grouped by ..."" generated automatically.",将字幕字段留空以自动生成“分组依据...”。
&lt;p&gt;Filters are optional and can be used to limit the list of Nodes displayed.&lt;br/&gt;,&lt;p&gt;过滤器是可选的，可用于限制显示的节点列表。&lt;br/&gt;
Sort By:,排序方式：
Dates and Times can be entered in &lt;b&gt;many&lt;/b&gt; different formats including:,日期和时间可以以&lt;b&gt;许多&lt;/b&gt;的不同格式输入，包括：
&lt;b&gt;{0}&lt;/b&gt; or &lt;b&gt;{1}&lt;/b&gt; or &lt;b&gt;{2}&lt;/b&gt; or &lt;b&gt;{3}&lt;/b&gt; or &lt;b&gt;{4}&lt;/b&gt;,&lt;b&gt; {0} &lt;/b&gt;或&lt;b&gt; {1} &lt;/b&gt;或&lt;b&gt; {2} &lt;/b&gt;或&lt;b&gt; {3} &lt;/b&gt;或&lt;b&gt; {4} &lt;/b&gt;
"A Chart has not been selected for this Resource.&lt;br&gt; {0} Click Here {1} to select a Chart for this Resource.&lt;br&gt;&lt;br&gt;You can also click on the ""&lt;b&gt;Edit&lt;/b&gt;"" button on the Resource Header at any time to edit this resource.&lt;br&gt;",尚未为此资源选择图表。&lt;br&gt; {0}单击此处{1}选择该资源的图表。&lt;br&gt; &lt;br&gt;您还可以单击“ &lt;b&gt;编辑&lt;/b&gt;”。任何时候都可以通过“资源标题”上的“”按钮来编辑此资源。&lt;br&gt;
SysLog,系统日志
Printable Version,可打印的版本
Time of Event,活动时间
{0} nodes,{0}个节点
DESCRIPTION,描述
search nodes,搜索节点
"Cannot delete ""{0}"" view; it is a system view.","无法删除""{0}""视图；这是系统视图。"
You can create a view limitation that will limit the network devices that can be,您可以创建视图限制，以限制可以
The Admin section allows customization of Orion's Web Site. You can completely change,管理员部分允许自定义Orion网站。你可以彻底改变
Main Settings &amp; Administration,主要设置和行政
Node &amp; Group Management,节点与集团管理
{0} is not a unique title.,{0}不是唯一的标题。
The number of minutes of inactivity before Orion will automatically,Orion自动停止活动的分钟数
"If a user with an Orion Windows account (group or individual) is already logged into the server,&lt;br /&gt;",如果具有Orion Windows帐户（组或个人）的用户已经登录到服务器，&lt;br&gt;
You can place your own logo on the login dialog. This also appears at the top of each page in the menu bar.&lt;br&gt;,您可以在登录对话框上放置自己的徽标。这也显示在菜单栏中每个页面的顶部。&lt;br&gt;
This text will be displayed on the login page where it will be seen by all users.,该文本将显示在登录页面上，所有用户都可以看到。
Online Help can be placed on a local server instead of a SolarWinds web server.&lt;br&gt;,在线帮助可以放置在本地服务器上，而不是SolarWinds Web服务器上。&lt;br&gt;
"When showing status for a collection of nodes on the node tree or on a map,&lt;br /&gt;",在节点树或地图上显示节点集合的状态时，&lt;br&gt;
"When showing the status of any single node on the node tree or on a map,&lt;br /&gt;",在节点树或地图上显示任何单个节点的状态时，&lt;br&gt;
The chart aspect ratio is the height/width ratio of the charts.&lt;br&gt;,图表的宽高比是图表的高度与宽度的比率。&lt;br&gt;
The thumbnail aspect ratio is the height/width ratio of the chart thumbnails.&lt;br&gt;,缩略图的宽高比是图表缩略图的高度与宽度的比例。&lt;br&gt;
"Setting this value will add percentile annotation lines to traffic, CPU load, memory,",设置此值会将百分比注释行添加到流量，CPU负载，内存，
Understanding 95th Percentile Calculations,了解第95个百分位数计算
edit,编辑
preview,预习
delete,删除
Database size,数据库大小
none,没有
Date Time,约会时间
Select Classic to calculate status for individual child objects. The child status is displayed as a subicon within the node icon.&lt;br /&gt;,选择“经典”可以计算单个子对象的状态。子状态在节点图标中显示为子图标。&lt;br&gt;
unlimited,无限
NETWORK OBJECT,网络对象
{2}{0} - {1},{2}{0} - {1}
Type of device,设备类型
Time period:,时间段：
Alert name:,警报名称：
Filter events:,过滤事件：
Community string:,社区字符串：
loading...,载入中...
MESSAGE TYPE,讯息类型
CAPTION,标题
IP ADDRESS,IP地址
event,事件
&lt;b&gt;Store blog posts.&lt;/b&gt; You will be notified when there is a new post if this option is selected.,&lt;b&gt;存储博客帖子。&lt;/b&gt;如果选择了此选项，则会在有新帖子时通知您。
"                To create new alerts or configure advanced alerting options, click &lt;b&gt;Start &amp;gt; All",                要创建新警报或配置高级警报选项，请点击&lt;b&gt;开始&amp; gt;所有
hours,小时
"There are currently no SNMP traps to display. {0} If you are expecting to see SNMP traps in this view, confirm both that the SolarWinds Trap Service is currently running and that the SNMP Trap Service is currently disabled on your Orion NPM server. {1} For more information about configuring the SNMP Trap Service on your Orion NPM server, see {2}""Configuring Required Services""{3}.",当前没有要显示的SNMP陷阱。 {0}如果希望在此视图中看到SNMP陷阱，请确认Orion NPM服务器上当前正在运行SolarWinds陷阱服务以及当前已禁用SNMP陷阱服务。 {1}有关在Orion NPM服务器上配置SNMP陷阱服务的更多信息，请参见{2}“配置必需的服务” {3}。
search,搜索
Select a Limitation Type for this Account. Limitations are used to limit the Network Devices each Account can view. ,选择此帐户的限制类型。限制用于限制每个帐户可以查看的网络设备。
Select a Limitation Type for this View. A Limitation can be used to limit the Network Devices that can be displayed ,为此视图选择一个限制类型。限制可用于限制可以显示的网络设备
"Select Limitation Type For Account ""{0}""","选择帐户""{0}""的限制类型"
"Select Limitation Type For View ""{0}""","选择视图""{0}""的限制类型"
"Define settings for Orion individual ""{0}"" account","定义Orion个人""{0}""帐户的设置"
"Edit ""{0}"" Account","编辑""{0}""帐户"
" This account cannot log in after this date. Enter ""Never"" for accounts that should", 该帐户在此日期之后无法登录。输入“从不”作为应
Enable this to allow the Account to customize the Views.&lt;br /&gt;,启用此选项以允许帐户自定义视图。&lt;br&gt;
 Browser Integration allows you to utilize tools on the client browser machine with, 浏览器集成使您可以利用客户端浏览器计算机上的工具
This Network Device is automatically selected when the Account logs in.&lt;br /&gt;,帐户登录时，将自动选择此网络设备。&lt;br&gt;
"This is the default Summary view for this account. This view is displayed when the user clicks ""Home"" on the menu bar.",这是此帐户的默认“摘要”视图。当用户单击菜单栏上的“主页”时，将显示此视图。
"There are no account limitations defined.  To create account limitations, click the",没有定义帐户限制。要创建帐户限制，请点击
Enter user name,输入用户名
Enter search string exact match or use * wildcard   (examples:  Domain\John.Smith   Domain\John.S*;  Domain\J*.S*;  Domain\* ),输入搜索字符串完全匹配或使用*通配符（例如：Domain \ John.Smith Domain \ John.S *; Domain \ J * .S *; Domain \ *）
Group name:,团队名字：
Bar,酒吧
 &amp; , &amp; 
User name is required.,用户名是必需的。
"To change the Admin password after you log in, click {0}Settings &gt; Manage Accounts{1}.",要在登录后更改管理员密码，请依次点击{0}设置&gt;管理帐户{1}。
You can reduce the number of down alerts generated by a single point of failure,您可以减少由单个故障点生成的向下警报的数量
"&lt;b&gt;What are dependencies?&lt;/b&gt; A child is dependent on a parent. The child will appear 'unreachable' instead of 'down' when the parent is down.&lt;br /&gt;&lt;b&gt;Why use dependencies?&lt;/b&gt; Avoid a flood of down alerts when a central interface/node goes down, make reports more accurate. &amp;raquo; {0}Learn more about dependencies{1}",&lt;b&gt;什么是依赖项？&lt;/b&gt;子项依赖于父项。 &lt;br&gt; &lt;b&gt;为什么要使用依赖项？&lt;/b&gt;当中央接口节点发生故障时，避免出现大量的故障警报，使报告更加准确。 &amp; raquo; {0}详细了解依赖项{1}
Calculations &amp; Thresholds,计算与门槛
count,计数
Groups may contain any number of Orion objects. You may alert and report on groups.,组可以包含任意数量的Orion对象。您可以警报并报告组。
&lt;New credential&gt;,&lt;新凭证&gt;
Enter the Windows credentials used on your network. Credentials are used in the order listed below. {0}Learn more about Windows credentials{1},输入网络上使用的Windows凭据。凭据按以下列出的顺序使用。 {0}详细了解Windows凭据{1}
Add &amp; Remove Objects,添加和移除物件
Add Orion objects to your group by dragging them from the left to the right panel or select multiple objects using ,从左侧面板向右侧面板将Orion对象添加到您的组中，或使用
Mixed status shows warning,混合状态显示警告
&lt;b&gt;External Node:&lt;/b&gt; No Status,&lt;b&gt;外部节点：&lt;/b&gt;无状态
&lt;b&gt;Status Only:&lt;/b&gt; ICMP,&lt;b&gt;仅状态：&lt;/b&gt; ICMP
&lt;b&gt;Windows Servers:&lt;/b&gt; WMI and ICMP,&lt;b&gt; Windows服务器：&lt;/b&gt; WMI和ICMP
&lt;b&gt;Most Devices:&lt;/b&gt; SNMP and ICMP,&lt;b&gt;大多数设备：&lt;/b&gt; SNMP和ICMP
Choose credential:,选择凭证：
Credential name:,凭证名称：
Confirm password:,确认密码：
Add Resources to {0} Column {1},将资源添加到{0}列{1}
Add &amp; Remove Orion Objects - {0},添加和删除Orion对象-{0}
WMI credentials,WMI凭证
You can change the data represented in this chart at any time by selecting &lt;b&gt;Edit&lt;/b&gt; in the resource header,您可以随时通过在资源标题中选择&lt;b&gt; Edit &lt;/b&gt;来更改此图表中表示的数据。
"&lt;p&gt;To enable the Change Polling Method feature, you must be using the same Polling Method&lt;br /&gt;",&lt;p&gt;要启用“更改轮询方法”功能，您必须使用相同的轮询方法&lt;br&gt;
"When showing the status of any single node on the node tree or on a map,&lt;br /&gt;you can show the status of the node and its children, node status and interfaces,&lt;br /&gt; node status and applications,&lt;br /&gt;or just node ICMP status.",在节点树或地图上显示任何单个节点的状态时，&lt;br&gt;您可以显示节点及其子节点的状态，节点状态和接口，节点状态和应用程序，或者仅显示节点ICMP状态。
